sender_id,sender,total_messages,active_days,avg_message_length,link_ratio,anomaly_label
Ayush20xs,Ayush20xs,404,10,26.96,0.0,unknown
8092549119,Electrobeast,403,7,7.99,0.005,unknown
8504762902,,402,2,1642.0,0.0,unknown
8150239902,idknowbrooo,402,6,30.26,0.0,unknown
nxovak,nxovak,402,8,25.16,0.0,unknown
7517279636,Youussef932,401,7,22.65,0.0,unknown
6449306703,MEDICO1919,400,19,14.4,0.0,unknown
Saadwhy,Saadwhy,398,9,33.26,0.0,unknown
8470503522,Newtongotgravityissue,397,3,15.55,0.0,unknown
8499225058,,396,12,27.09,0.0,unknown
8633384726,,396,1,16.37,0.0,unknown
samonshore,samonshore,395,6,18.49,0.0,unknown
1271685754,TysonMat,394,12,31.6,0.0,unknown
gazaalannet,gazaalannet,394,10,103.49,0.0279,unknown
8412654273,lil_moonxx66,394,15,13.62,0.0,unknown
7658359024,lllMTdk1,394,6,105.74,0.0102,unknown
choppedass,choppedass,392,3,16.63,0.0051,unknown
leafies,leafies,391,4,16.45,0.0102,unknown
